"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"AA1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AA2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AA3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AB1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AB2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AB3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AC1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AC2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"AC3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"C1";"1000pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C2";"1000pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C3";"1000pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C4";"1000pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C5";".01uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C6";"1000pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C7";".01uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C8";"500pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C9";"1000pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C10";"500pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C11";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C12";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C13";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C14";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"C15";".01uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"C16";"500pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";"";"";"";
"CV1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"CV2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"CV3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"EA2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"EA3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"EB2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"EB3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"EC2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"EC3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IA1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IA2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IA3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IB1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IB2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IB3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IC1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IC2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IC3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"IC4";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";"";"";"";
"IC5";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";"";"";"";
"IC6";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";"";"";"";
"IC7";"555";"ICM7555";"DIL08";"TIMER";"MAXIM";"ICM7555IPA+";"9663762";"68K4387";
"IC8";"555";"ICM7555";"DIL08";"TIMER";"MAXIM";"ICM7555IPA+";"9663762";"68K4387";
"IC9";"555";"ICM7555";"DIL08";"TIMER";"MAXIM";"ICM7555IPA+";"9663762";"68K4387";
"IN";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"OUT";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";"";"";"";
"POWER";"EURORACK-POWER";"EURORACK-POWER";"PINSHRD_PTH_2X8";"";"";"";"";"";
"R1";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R2";"1.8k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R3";"330k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R4";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R5";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R6";"2.2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R7";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R8";"1.8k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R9";"330k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R10";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R11";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R12";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R13";"1.8k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R14";"330k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R15";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R16";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
"R17";"2.2k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";"";"";"";
