"Part";"Value";"Device";"Package";"Description";"";
"BW3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"BW6";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"BW12";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"BW45";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"C1";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C2";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C3";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C4";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C5";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C6";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C7";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C8";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C9";"100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C10";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C11";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C12";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C13";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C14";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C15";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C16";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C17";".047";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C18";"2n2";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C19";"18pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C20";"100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C21";"100pF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C22";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C23";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C24";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"C25";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C26";"10uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";
"C27";".1uF";"C-US050-025X075";"C050-025X075";"CAPACITOR, American symbol";"";
"CV1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CV2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"CVSN";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"D1";"1N4148";"1N4148DO35-7";"DO35-7";"DIODE";"";
"F1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"F2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"F3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FF1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FF2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"FF3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"GNDP";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"IC1";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";
"IC2";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";
"IC3";"4051N";"4051N";"DIL16";"8-channel ANALOG MULTIPLEXER";"";
"IC4";"4051N";"4051N";"DIL16";"8-channel ANALOG MULTIPLEXER";"";
"IC5";"4024N";"4024N";"DIL14";"7-stage binary/ripple COUNTER";"";
"IC6";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";
"IC7";"LM311N";"LM311N";"DIL08";"COMPARATOR";"";
"IC8";"TL072";"TL072-TOPP";"DIL08";"OP AMP";"";
"IC9";"CA3240";"TL072-TOPP";"DIL08";"OP AMP";"";
"IN1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"LINFM";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"OUT";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"PULSE";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"Q1";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"Q2";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"Q3";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"QA";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"QB";"";"2,54/1,0";"2,54/1,0";"THROUGH-HOLE PAD";"";
"R3";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
"R4";"100k";"R-US_0207/10";"0207/10";"RESISTOR, American symbol";"";
